name,country,region,state,varietal,price,description,merchant,address
Angels Landing Cabernet Sauvignon,United States,Napa Valley,California,Cabernet Sauvignon,22.99,"This Cabernet has it all. Ripe dark fruit, structure, balance and elegance. That's a rare combination that makes Angels Landing Cabernet one of our favorite Napa Cabs. Rich blackberry and cherry fruit, leads to notes of spice and chocolate and finishes with a touch of sweet oak. There's also a freshness here that just adds to its overall excellence and makes it a perfect Cabernet for pairing with food.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Angels Landing Merlot Napa,United States,Napa Valley,California,Merlot,16.99,"A rich mix of black fruit, hints of dark chocolate, spices, cassis, and toasty oak on the finish. A perfect companion to red meats, aged cheeses and salmon, or sushi grade tuna steaks",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Antale Veneto Rosso,Italy,Veneto,Veneto,Corvina,11.99,"Producing every style of wine and with great success, the Veneto is one of the most multi-faceted wine destinations in Italy. The Antale has a deep ruby red color and flavors of plum and currants with a hint of cocoa on the soft and elegant finish. Pair it with a rich and over the top pasta, Cin Cin!",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Articulate Cabernet Sauvignon Walla Walla,United States,Walla Walla Valley,Washington,Cabernet Sauvignon,14.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Baus Family Cabernet Sauvignon Private Reserve,United States,Alexander Valley,California,Cabernet Sauvignon,16.99,"A full-bodied and rich Cabernet, this wine is dark ruby in color, with lifted aromas of dark fruit, tobacco, vanilla and spice. Packed with intense flavors of black cherries, black plums and blackberries intermingled with complex notes of clove, cocoa and earth  on the palate. The fruit is beautifully balanced with a smooth, luxurious, oaky finish of sweet vanilla, spice and toast. Serve with grilled lamb chops or braised short ribs.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Baus Family Vineyards Chardonnay,United States,Alexander Valley,California,Chardonnay,14.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Bear Path Napa Valley Cabernet Sauvignon,United States,Napa Valley Ava,California,"Cabernet Sauvignon, Merlot, Petit Verdot, Cabernet Franc",19.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Bodegas As Laxas Ferrum Albarino,Spain,Rias Baixas,,Albarino,14.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Borgo San Leo Prosecco Brut,Italy,Prosecco,Prosecco,"Sparkling, Prosecco",15.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Briar Hill Pinot Noir Santa Barbara County,United States,Santa Barbara,California,Pinot Noir,19.99,"Briar Hill wines pay homage to the briar-covered hillsides of chaparral that frame the vineyards of Santa Barbara County. Find rich notes of plum, black cherry, and bittersweet chocolate layered over silky tannins on this fine selections. Recommended with oven-baked salmon or mushroom & truffle pasta.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
